date,frequency
1/01/2017,1
2/01/2017,7
3/01/2017,10
4/01/2017,10
5/01/2017,6
6/01/2017,12
7/01/2017,8
8/01/2017,5
9/01/2017,8
10/01/2017,4
11/01/2017,6
12/01/2017,6
13/01/2017,8
14/01/2017,3
15/01/2017,8
16/01/2017,3
17/01/2017,11
18/01/2017,8
19/01/2017,8
20/01/2017,13
21/01/2017,2
22/01/2017,4
23/01/2017,1
24/01/2017,4
25/01/2017,8
26/01/2017,11
27/01/2017,7
28/01/2017,5
29/01/2017,7
30/01/2017,7
31/01/2017,3
1/02/2017,4
2/02/2017,8
3/02/2017,7
4/02/2017,9
5/02/2017,6
6/02/2017,6
7/02/2017,5
8/02/2017,11
9/02/2017,8
10/02/2017,3
11/02/2017,9
12/02/2017,8
13/02/2017,3
14/02/2017,6
15/02/2017,11
16/02/2017,6
17/02/2017,8
18/02/2017,4
19/02/2017,1
20/02/2017,4
21/02/2017,3
22/02/2017,2
23/02/2017,1
24/02/2017,6
25/02/2017,7
26/02/2017,4
27/02/2017,2
28/02/2017,1
1/03/2017,3
2/03/2017,1
3/03/2017,13
4/03/2017,7
5/03/2017,3
6/03/2017,4
7/03/2017,8
8/03/2017,6
9/03/2017,3
10/03/2017,1
11/03/2017,1
12/03/2017,0
13/03/2017,5
14/03/2017,2
15/03/2017,7
16/03/2017,6
17/03/2017,4
18/03/2017,2
19/03/2017,1
20/03/2017,7
21/03/2017,4
22/03/2017,1
23/03/2017,5
24/03/2017,4
25/03/2017,4
26/03/2017,1
27/03/2017,1
28/03/2017,10
29/03/2017,4
30/03/2017,9
31/03/2017,8
1/04/2017,7
2/04/2017,3
3/04/2017,8
4/04/2017,3
5/04/2017,1
6/04/2017,2
7/04/2017,0
8/04/2017,5
9/04/2017,2
10/04/2017,3
11/04/2017,4
12/04/2017,6
13/04/2017,4
14/04/2017,1
15/04/2017,0
16/04/2017,5
17/04/2017,7
18/04/2017,7
19/04/2017,4
20/04/2017,4
21/04/2017,4
22/04/2017,7
23/04/2017,7
24/04/2017,7
25/04/2017,5
26/04/2017,9
27/04/2017,12
28/04/2017,3
29/04/2017,3
30/04/2017,5
1/05/2017,2
2/05/2017,4
3/05/2017,4
4/05/2017,9
5/05/2017,10
6/05/2017,1
7/05/2017,4
8/05/2017,9
9/05/2017,2
10/05/2017,9
11/05/2017,6
12/05/2017,9
13/05/2017,4
14/05/2017,1
15/05/2017,1
16/05/2017,6
17/05/2017,1
18/05/2017,4
19/05/2017,3
20/05/2017,2
21/05/2017,2
22/05/2017,1
23/05/2017,4
24/05/2017,2
25/05/2017,3
26/05/2017,4
27/05/2017,7
28/05/2017,12
29/05/2017,6
30/05/2017,3
31/05/2017,9
1/06/2017,5
2/06/2017,2
3/06/2017,3
4/06/2017,3
5/06/2017,8
6/06/2017,8
7/06/2017,5
8/06/2017,0
9/06/2017,6
10/06/2017,2
11/06/2017,4
12/06/2017,6
13/06/2017,9
14/06/2017,3
15/06/2017,7
16/06/2017,7
17/06/2017,2
18/06/2017,4
19/06/2017,11
20/06/2017,5
21/06/2017,9
22/06/2017,13
23/06/2017,5
24/06/2017,6
25/06/2017,2
26/06/2017,7
27/06/2017,7
28/06/2017,8
29/06/2017,13
30/06/2017,7
1/07/2017,11
2/07/2017,4
3/07/2017,9
4/07/2017,5
5/07/2017,5
6/07/2017,4
7/07/2017,7
8/07/2017,4
9/07/2017,11
10/07/2017,5
11/07/2017,4
12/07/2017,12
13/07/2017,4
14/07/2017,11
15/07/2017,8
16/07/2017,8
17/07/2017,3
18/07/2017,5
19/07/2017,4
20/07/2017,3
21/07/2017,7
22/07/2017,14
23/07/2017,4
24/07/2017,9
25/07/2017,19
26/07/2017,11
27/07/2017,9
28/07/2017,9
29/07/2017,14
30/07/2017,1
31/07/2017,3
1/08/2017,3
2/08/2017,4
3/08/2017,8
4/08/2017,8
5/08/2017,7
6/08/2017,1
7/08/2017,15
8/08/2017,4
9/08/2017,5
10/08/2017,4
11/08/2017,4
12/08/2017,9
13/08/2017,0
14/08/2017,8
15/08/2017,5
16/08/2017,10
17/08/2017,12
18/08/2017,6
19/08/2017,10
20/08/2017,1
21/08/2017,3
22/08/2017,7
23/08/2017,10
24/08/2017,14
25/08/2017,12
26/08/2017,8
27/08/2017,11
28/08/2017,0
29/08/2017,2
30/08/2017,5
31/08/2017,2
1/09/2017,7
2/09/2017,4
3/09/2017,10
4/09/2017,1
5/09/2017,4
6/09/2017,7
7/09/2017,9
8/09/2017,8
9/09/2017,3
10/09/2017,2
11/09/2017,2
12/09/2017,4
13/09/2017,3
14/09/2017,13
15/09/2017,14
16/09/2017,3
17/09/2017,5
18/09/2017,5
19/09/2017,8
20/09/2017,19
21/09/2017,9
22/09/2017,9
23/09/2017,13
24/09/2017,9
25/09/2017,8
26/09/2017,20
27/09/2017,12
28/09/2017,6
29/09/2017,11
30/09/2017,21
1/10/2017,7
2/10/2017,2
3/10/2017,4
4/10/2017,8
5/10/2017,6
6/10/2017,1
7/10/2017,12
8/10/2017,9
9/10/2017,3
10/10/2017,9
11/10/2017,14
12/10/2017,10
13/10/2017,12
14/10/2017,8
15/10/2017,2
16/10/2017,7
17/10/2017,8
18/10/2017,17
19/10/2017,6
20/10/2017,11
21/10/2017,11
22/10/2017,5
23/10/2017,4
24/10/2017,8
25/10/2017,13
26/10/2017,8
27/10/2017,15
28/10/2017,11
29/10/2017,6
30/10/2017,4
31/10/2017,14
1/11/2017,15
2/11/2017,14
3/11/2017,20
4/11/2017,4
5/11/2017,6
6/11/2017,7
7/11/2017,9
